day,season,weekday,workingday,weathersit,temp,windspeed,casual,registered,cnt,year
35,1,5,1,2,0.211304,0.127839,88,1620,1708,2011
36,1,6,0,2,0.233333,0.161079,100,905,1005,2011
37,1,0,0,1,0.285833,0.1418,354,1269,1623,2011
38,1,1,1,1,0.271667,0.0454083,120,1592,1712,2011
39,1,2,1,1,0.220833,0.36195,64,1466,1530,2011
40,1,3,1,2,0.134783,0.188839,53,1552,1605,2011
41,1,4,1,1,0.144348,0.221935,47,1491,1538,2011
42,1,5,1,1,0.189091,0.10855,149,1597,1746,2011
43,1,6,0,1,0.2225,0.203367,288,1184,1472,2011
44,1,0,0,1,0.316522,0.260883,397,1192,1589,2011
45,1,1,1,1,0.415,0.417908,208,1705,1913,2011
46,1,2,1,1,0.266087,0.291374,140,1675,1815,2011
47,1,3,1,1,0.318261,0.251791,218,1897,2115,2011
48,1,4,1,1,0.435833,0.230104,259,2216,2475,2011
49,1,5,1,1,0.521667,0.264925,579,2348,2927,2011
50,1,6,0,1,0.399167,0.507463,532,1103,1635,2011
51,1,0,0,1,0.285217,0.223235,639,1173,1812,2011
52,1,1,0,2,0.303333,0.307846,195,912,1107,2011
53,1,2,1,1,0.182222,0.195683,74,1376,1450,2011
54,1,3,1,1,0.221739,0.094113,139,1778,1917,2011
55,1,4,1,2,0.295652,0.250496,100,1707,1807,2011
56,1,5,1,2,0.364348,0.346539,120,1341,1461,2011
57,1,6,0,1,0.2825,0.186571,424,1545,1969,2011
58,1,0,0,1,0.343478,0.125248,694,1708,2402,2011
59,1,1,1,2,0.407273,0.289686,81,1365,1446,2011
60,1,2,1,1,0.266667,0.216425,137,1714,1851,2011
61,1,3,1,1,0.335,0.307833,231,1903,2134,2011
62,1,4,1,1,0.198333,0.225754,123,1562,1685,2011
63,1,5,1,2,0.261667,0.203346,214,1730,1944,2011
64,1,6,0,2,0.384167,0.251871,640,1437,2077,2011
65,1,0,0,2,0.376522,0.343287,114,491,605,2011
66,1,1,1,1,0.261739,0.341352,244,1628,1872,2011
67,1,2,1,1,0.2925,0.12065,316,1817,2133,2011
68,1,3,1,2,0.295833,0.22015,191,1700,1891,2011
69,1,4,1,3,0.389091,0.261877,46,577,623,2011
70,1,5,1,2,0.316522,0.23297,247,1730,1977,2011
71,1,6,0,1,0.329167,0.220775,724,1408,2132,2011
72,1,0,0,1,0.384348,0.270604,982,1435,2417,2011
73,1,1,1,1,0.325217,0.136926,359,1687,2046,2011
74,1,2,1,2,0.317391,0.184309,289,1767,2056,2011
75,1,3,1,2,0.365217,0.203117,321,1871,2192,2011
76,1,4,1,1,0.415,0.209579,424,2320,2744,2011
77,1,5,1,1,0.54,0.231017,884,2355,3239,2011
78,1,6,0,1,0.4725,0.368167,1424,1693,3117,2011
79,1,0,0,1,0.3325,0.207721,1047,1424,2471,2011
80,2,1,1,2,0.430435,0.288783,401,1676,2077,2011
81,2,2,1,1,0.441667,0.22575,460,2243,2703,2011
82,2,3,1,2,0.346957,0.234261,203,1918,2121,2011
83,2,4,1,2,0.285,0.243787,166,1699,1865,2011
84,2,5,1,1,0.264167,0.230725,300,1910,2210,2011
85,2,6,0,1,0.265833,0.209571,981,1515,2496,2011
86,2,0,0,2,0.253043,0.1843,472,1221,1693,2011
87,2,1,1,1,0.264348,0.212204,222,1806,2028,2011
88,2,2,1,1,0.3025,0.226996,317,2108,2425,2011
89,2,3,1,2,0.3,0.172888,168,1368,1536,2011
90,2,4,1,3,0.268333,0.217646,179,1506,1685,2011
91,2,5,1,2,0.3,0.258708,307,1920,2227,2011
92,2,6,0,2,0.315,0.197146,898,1354,2252,2011
93,2,0,0,1,0.378333,0.182213,1651,1598,3249,2011
94,2,1,1,1,0.573333,0.385571,734,2381,3115,2011
95,2,2,1,2,0.414167,0.388067,167,1628,1795,2011
96,2,3,1,1,0.390833,0.263063,413,2395,2808,2011
97,2,4,1,1,0.4375,0.162312,571,2570,3141,2011
98,2,5,1,2,0.335833,0.226992,172,1299,1471,2011
99,2,6,0,2,0.3425,0.133083,879,1576,2455,2011
100,2,0,0,2,0.426667,0.146767,1188,1707,2895,2011
101,2,1,1,2,0.595652,0.324474,855,2493,3348,2011
102,2,2,1,2,0.5025,0.274879,257,1777,2034,2011
103,2,3,1,2,0.4125,0.250617,209,1953,2162,2011
104,2,4,1,1,0.4675,0.1107,529,2738,3267,2011
105,2,5,0,1,0.446667,0.226375,642,2484,3126,2011
106,2,6,0,3,0.430833,0.340808,121,674,795,2011
107,2,0,0,1,0.456667,0.303496,1558,2186,3744,2011
108,2,1,1,1,0.5125,0.163567,669,2760,3429,2011
109,2,2,1,2,0.505833,0.157971,409,2795,3204,2011
110,2,3,1,1,0.595,0.241925,613,3331,3944,2011
111,2,4,1,1,0.459167,0.325258,745,3444,4189,2011
112,2,5,1,2,0.336667,0.219521,177,1506,1683,2011
113,2,6,0,2,0.46,0.230725,1462,2574,4036,2011
114,2,0,0,2,0.581667,0.192175,1710,2481,4191,2011
115,2,1,1,1,0.606667,0.185333,773,3300,4073,2011
116,2,2,1,1,0.631667,0.3265,678,3722,4400,2011
117,2,3,1,2,0.62,0.3122,547,3325,3872,2011
118,2,4,1,2,0.6175,0.320908,569,3489,4058,2011
119,2,5,1,1,0.51,0.240063,878,3717,4595,2011
120,2,6,0,1,0.4725,0.235075,1965,3347,5312,2011
121,2,0,0,2,0.451667,0.106354,1138,2213,3351,2011
122,2,1,1,2,0.549167,0.183454,847,3554,4401,2011
123,2,2,1,2,0.616667,0.342667,603,3848,4451,2011
124,2,3,1,2,0.414167,0.328996,255,2378,2633,2011
125,2,4,1,1,0.459167,0.295392,614,3819,4433,2011
126,2,5,1,1,0.479167,0.228246,894,3714,4608,2011
127,2,6,0,1,0.52,0.16045,1612,3102,4714,2011
128,2,0,0,1,0.528333,0.0746375,1401,2932,4333,2011
129,2,1,1,1,0.5325,0.176,664,3698,4362,2011
130,2,2,1,1,0.5325,0.115671,694,4109,4803,2011
131,2,3,1,1,0.5425,0.120642,550,3632,4182,2011
132,2,4,1,1,0.535,0.189667,695,4169,4864,2011
133,2,5,1,2,0.5125,0.179725,692,3413,4105,2011
134,2,6,0,2,0.520833,0.13495,902,2507,3409,2011
135,2,0,0,2,0.5625,0.152979,1582,2971,4553,2011
136,2,1,1,1,0.5775,0.126871,773,3185,3958,2011
137,2,2,1,2,0.561667,0.277354,678,3445,4123,2011
138,2,3,1,2,0.55,0.201492,536,3319,3855,2011
139,2,4,1,2,0.530833,0.108213,735,3840,4575,2011
140,2,5,1,1,0.536667,0.125013,909,4008,4917,2011
141,2,6,0,1,0.6025,0.12065,2258,3547,5805,2011
142,2,0,0,1,0.604167,0.148008,1576,3084,4660,2011
143,2,1,1,2,0.631667,0.233842,836,3438,4274,2011
144,2,2,1,2,0.66,0.207092,659,3833,4492,2011
145,2,3,1,1,0.660833,0.154233,740,4238,4978,2011
146,2,4,1,1,0.708333,0.199642,758,3919,4677,2011
147,2,5,1,1,0.681667,0.240679,871,3808,4679,2011
148,2,6,0,1,0.655833,0.230092,2001,2757,4758,2011
149,2,0,0,1,0.6675,0.213938,2355,2433,4788,2011
150,2,1,0,1,0.733333,0.131225,1549,2549,4098,2011
151,2,2,1,1,0.775,0.111329,673,3309,3982,2011
152,2,3,1,2,0.764167,0.207092,513,3461,3974,2011
153,2,4,1,1,0.715,0.292287,736,4232,4968,2011
154,2,5,1,1,0.62,0.253121,898,4414,5312,2011
155,2,6,0,1,0.635,0.123142,1869,3473,5342,2011
156,2,0,0,2,0.648333,0.138692,1685,3221,4906,2011
157,2,1,1,1,0.678333,0.121896,673,3875,4548,2011
158,2,2,1,1,0.7075,0.187808,763,4070,4833,2011
159,2,3,1,1,0.775833,0.136817,676,3725,4401,2011
160,2,4,1,2,0.808333,0.149883,563,3352,3915,2011
161,2,5,1,1,0.755,0.140554,815,3771,4586,2011
162,2,6,0,1,0.725,0.15485,1729,3237,4966,2011
163,2,0,0,1,0.6925,0.163567,1467,2993,4460,2011
164,2,1,1,1,0.635,0.30535,863,4157,5020,2011
165,2,2,1,1,0.604167,0.269283,727,4164,4891,2011
166,2,3,1,1,0.626667,0.167912,769,4411,5180,2011
167,2,4,1,2,0.628333,0.206471,545,3222,3767,2011
168,2,5,1,1,0.649167,0.143029,863,3981,4844,2011
169,2,6,0,1,0.696667,0.119408,1807,3312,5119,2011
170,2,0,0,2,0.699167,0.102,1639,3105,4744,2011
171,2,1,1,2,0.635,0.155475,699,3311,4010,2011
172,3,2,1,2,0.680833,0.171025,774,4061,4835,2011
173,3,3,1,1,0.733333,0.172262,661,3846,4507,2011
174,3,4,1,2,0.728333,0.238804,746,4044,4790,2011
175,3,5,1,1,0.724167,0.222025,969,4022,4991,2011
176,3,6,0,1,0.695,0.209571,1782,3420,5202,2011
177,3,0,0,1,0.68,0.0945333,1920,3385,5305,2011
178,3,1,1,2,0.6825,0.107588,854,3854,4708,2011
179,3,2,1,1,0.744167,0.144283,732,3916,4648,2011
180,3,3,1,1,0.728333,0.261821,848,4377,5225,2011
181,3,4,1,1,0.696667,0.185312,1027,4488,5515,2011
182,3,5,1,1,0.7225,0.102608,1246,4116,5362,2011
183,3,6,0,1,0.738333,0.115062,2204,2915,5119,2011
184,3,0,0,2,0.716667,0.228858,2282,2367,4649,2011
185,3,1,0,2,0.726667,0.0814792,3065,2978,6043,2011
186,3,2,1,1,0.746667,0.126258,1031,3634,4665,2011
187,3,3,1,1,0.72,0.149883,784,3845,4629,2011
188,3,4,1,1,0.75,0.1592,754,3838,4592,2011
189,3,5,1,2,0.709167,0.225129,692,3348,4040,2011
190,3,6,0,1,0.733333,0.167912,1988,3348,5336,2011
191,3,0,0,1,0.7475,0.183471,1743,3138,4881,2011
192,3,1,1,1,0.7625,0.282337,723,3363,4086,2011
193,3,2,1,1,0.794167,0.200254,662,3596,4258,2011
194,3,3,1,1,0.746667,0.146133,748,3594,4342,2011
195,3,4,1,1,0.680833,0.240667,888,4196,5084,2011
196,3,5,1,1,0.663333,0.182833,1318,4220,5538,2011
197,3,6,0,1,0.686667,0.208342,2418,3505,5923,2011
198,3,0,0,1,0.719167,0.245033,2006,3296,5302,2011
199,3,1,1,1,0.746667,0.215804,841,3617,4458,2011
200,3,2,1,1,0.776667,0.1306,752,3789,4541,2011
201,3,3,1,1,0.768333,0.113817,644,3688,4332,2011
202,3,4,1,2,0.815,0.222021,632,3152,3784,2011
203,3,5,1,1,0.848333,0.1331,562,2825,3387,2011
204,3,6,0,1,0.849167,0.131221,987,2298,3285,2011
205,3,0,0,1,0.83,0.169171,1050,2556,3606,2011
206,3,1,1,1,0.743333,0.0908083,568,3272,3840,2011
207,3,2,1,1,0.771667,0.200258,750,3840,4590,2011
208,3,3,1,1,0.775,0.183463,755,3901,4656,2011
209,3,4,1,1,0.779167,0.178479,606,3784,4390,2011
210,3,5,1,1,0.838333,0.174138,670,3176,3846,2011
211,3,6,0,1,0.804167,0.168537,1559,2916,4475,2011
212,3,0,0,1,0.805833,0.164813,1524,2778,4302,2011
213,3,1,1,1,0.771667,0.156717,729,3537,4266,2011
214,3,2,1,1,0.783333,0.20585,801,4044,4845,2011
215,3,3,1,2,0.731667,0.135583,467,3107,3574,2011
216,3,4,1,2,0.71,0.19715,799,3777,4576,2011
217,3,5,1,1,0.710833,0.184696,1023,3843,4866,2011
218,3,6,0,2,0.716667,0.22825,1521,2773,4294,2011
219,3,0,0,1,0.7425,0.201487,1298,2487,3785,2011
220,3,1,1,1,0.765,0.192175,846,3480,4326,2011
221,3,2,1,1,0.775,0.151121,907,3695,4602,2011
222,3,3,1,1,0.766667,0.200258,884,3896,4780,2011
223,3,4,1,1,0.7175,0.164796,812,3980,4792,2011
224,3,5,1,1,0.708333,0.125621,1051,3854,4905,2011
225,3,6,0,2,0.685833,0.211454,1504,2646,4150,2011
226,3,0,0,2,0.676667,0.222633,1338,2482,3820,2011
227,3,1,1,1,0.665833,0.208954,775,3563,4338,2011
228,3,2,1,1,0.700833,0.236329,721,4004,4725,2011
229,3,3,1,1,0.723333,0.143667,668,4026,4694,2011
230,3,4,1,1,0.711667,0.233208,639,3166,3805,2011
231,3,5,1,2,0.685,0.139308,797,3356,4153,2011
232,3,6,0,1,0.6975,0.104467,1914,3277,5191,2011
233,3,0,0,1,0.710833,0.248754,1249,2624,3873,2011
234,3,1,1,1,0.691667,0.27675,833,3925,4758,2011
235,3,2,1,1,0.640833,0.146763,1281,4614,5895,2011
236,3,3,1,1,0.673333,0.253108,949,4181,5130,2011
237,3,4,1,2,0.684167,0.210833,435,3107,3542,2011
238,3,5,1,1,0.7,0.0839625,768,3893,4661,2011
239,3,6,0,2,0.68,0.375617,226,889,1115,2011
240,3,0,0,1,0.707059,0.304659,1415,2919,4334,2011
241,3,1,1,1,0.636667,0.159825,729,3905,4634,2011
242,3,2,1,1,0.639167,0.125008,775,4429,5204,2011
243,3,3,1,1,0.656667,0.0833333,688,4370,5058,2011
244,3,4,1,1,0.655,0.141796,783,4332,5115,2011
245,3,5,1,2,0.643333,0.139929,875,3852,4727,2011
246,3,6,0,1,0.669167,0.185325,1935,2549,4484,2011
247,3,0,0,1,0.709167,0.206467,2521,2419,4940,2011
248,3,1,0,2,0.673333,0.212696,1236,2115,3351,2011
249,3,2,1,3,0.54,0.343943,204,2506,2710,2011
250,3,3,1,3,0.599167,0.0970208,118,1878,1996,2011
251,3,4,1,3,0.633913,0.192748,153,1689,1842,2011
252,3,5,1,2,0.65,0.124379,417,3127,3544,2011
253,3,6,0,1,0.66,0.153608,1750,3595,5345,2011
254,3,0,0,1,0.653333,0.115054,1633,3413,5046,2011
255,3,1,1,1,0.644348,0.088913,690,4023,4713,2011
256,3,2,1,1,0.650833,0.141804,701,4062,4763,2011
257,3,3,1,1,0.673333,0.1673,647,4138,4785,2011
258,3,4,1,2,0.5775,0.271146,428,3231,3659,2011
259,3,5,1,2,0.469167,0.164183,742,4018,4760,2011
260,3,6,0,2,0.491667,0.189675,1434,3077,4511,2011
261,3,0,0,1,0.5075,0.178483,1353,2921,4274,2011
262,3,1,1,2,0.549167,0.151742,691,3848,4539,2011
263,3,2,1,2,0.561667,0.134954,438,3203,3641,2011
264,3,3,1,2,0.595,0.0964042,539,3813,4352,2011
265,3,4,1,2,0.628333,0.128125,555,4240,4795,2011
266,4,5,1,2,0.609167,0.0783667,258,2137,2395,2011
267,4,6,0,2,0.606667,0.0783833,1776,3647,5423,2011
268,4,0,0,2,0.634167,0.0503792,1544,3466,5010,2011
269,4,1,1,2,0.649167,0.1107,684,3946,4630,2011
270,4,2,1,2,0.636667,0.118171,477,3643,4120,2011
271,4,3,1,2,0.635,0.148629,480,3427,3907,2011
272,4,4,1,1,0.616667,0.172883,653,4186,4839,2011
273,4,5,1,1,0.564167,0.206475,830,4372,5202,2011
274,4,6,0,2,0.41,0.292296,480,1949,2429,2011
275,4,0,0,2,0.356667,0.222013,616,2302,2918,2011
276,4,1,1,2,0.384167,0.0833458,330,3240,3570,2011
277,4,2,1,1,0.484167,0.205854,486,3970,4456,2011
278,4,3,1,1,0.538333,0.17725,559,4267,4826,2011
279,4,4,1,1,0.494167,0.134954,639,4126,4765,2011
280,4,5,1,1,0.510833,0.0223917,949,4036,4985,2011
281,4,6,0,1,0.521667,0.0454042,2235,3174,5409,2011
282,4,0,0,1,0.540833,0.06345,2397,3114,5511,2011
283,4,1,0,1,0.570833,0.0423042,1514,3603,5117,2011
284,4,2,1,2,0.566667,0.143042,667,3896,4563,2011
285,4,3,1,3,0.543333,0.24815,217,2199,2416,2011
286,4,4,1,2,0.589167,0.141787,290,2623,2913,2011
287,4,5,1,2,0.550833,0.223883,529,3115,3644,2011
288,4,6,0,1,0.506667,0.258083,1899,3318,5217,2011
289,4,0,0,1,0.511667,0.281717,1748,3293,5041,2011
290,4,1,1,1,0.534167,0.175379,713,3857,4570,2011
291,4,2,1,2,0.5325,0.110087,637,4111,4748,2011
292,4,3,1,3,0.541739,0.243339,254,2170,2424,2011
293,4,4,1,1,0.475833,0.422275,471,3724,4195,2011
294,4,5,1,1,0.4275,0.221396,676,3628,4304,2011
295,4,6,0,1,0.4225,0.0926667,1499,2809,4308,2011
296,4,0,0,1,0.421667,0.0995125,1619,2762,4381,2011
297,4,1,1,1,0.463333,0.118792,699,3488,4187,2011
298,4,2,1,1,0.471667,0.166658,695,3992,4687,2011
299,4,3,1,2,0.484167,0.148642,404,3490,3894,2011
300,4,4,1,2,0.47,0.197763,240,2419,2659,2011
301,4,5,1,2,0.330833,0.229479,456,3291,3747,2011
302,4,6,0,3,0.254167,0.351371,57,570,627,2011
303,4,0,0,1,0.319167,0.176617,885,2446,3331,2011
304,4,1,1,1,0.34,0.10635,362,3307,3669,2011
305,4,2,1,1,0.400833,0.135571,410,3658,4068,2011
306,4,3,1,1,0.3775,0.0820917,370,3816,4186,2011
307,4,4,1,1,0.408333,0.136817,318,3656,3974,2011
308,4,5,1,2,0.403333,0.271779,470,3576,4046,2011
309,4,6,0,1,0.326667,0.189062,1156,2770,3926,2011
310,4,0,0,1,0.348333,0.0920542,952,2697,3649,2011
311,4,1,1,1,0.395,0.057225,373,3662,4035,2011
312,4,2,1,1,0.408333,0.0690375,376,3829,4205,2011
313,4,3,1,1,0.4,0.0621958,305,3804,4109,2011
314,4,4,1,2,0.38,0.189067,190,2743,2933,2011
315,4,5,0,1,0.324167,0.314675,440,2928,3368,2011
316,4,6,0,1,0.356667,0.212062,1275,2792,4067,2011
317,4,0,0,1,0.440833,0.281721,1004,2713,3717,2011
318,4,1,1,1,0.53,0.306596,595,3891,4486,2011
319,4,2,1,2,0.53,0.199633,449,3746,4195,2011
320,4,3,1,3,0.456667,0.136829,145,1672,1817,2011
321,4,4,1,2,0.341667,0.305362,139,2914,3053,2011
322,4,5,1,1,0.274167,0.168533,245,3147,3392,2011
323,4,6,0,1,0.329167,0.224496,943,2720,3663,2011
324,4,0,0,2,0.463333,0.18595,787,2733,3520,2011
325,4,1,1,3,0.4475,0.138054,220,2545,2765,2011
326,4,2,1,3,0.416667,0.118792,69,1538,1607,2011
327,4,3,1,2,0.440833,0.335825,112,2454,2566,2011
328,4,4,0,1,0.373333,0.167304,560,935,1495,2011
329,4,5,1,1,0.375,0.0988958,1095,1697,2792,2011
330,4,6,0,1,0.375833,0.0684208,1249,1819,3068,2011
331,4,0,0,1,0.459167,0.208954,810,2261,3071,2011
332,4,1,1,1,0.503478,0.142122,253,3614,3867,2011
333,4,2,1,2,0.458333,0.258092,96,2818,2914,2011
334,4,3,1,1,0.325,0.271158,188,3425,3613,2011
335,4,4,1,1,0.3125,0.220158,182,3545,3727,2011
336,4,5,1,1,0.314167,0.100754,268,3672,3940,2011
337,4,6,0,1,0.299167,0.0957833,706,2908,3614,2011
338,4,0,0,1,0.330833,0.0839583,634,2851,3485,2011
339,4,1,1,2,0.385833,0.0622083,233,3578,3811,2011
340,4,2,1,3,0.4625,0.232583,126,2468,2594,2011
341,4,3,1,3,0.41,0.266175,50,655,705,2011
342,4,4,1,1,0.265833,0.240058,150,3172,3322,2011
343,4,5,1,1,0.290833,0.0827167,261,3359,3620,2011
344,4,6,0,1,0.275,0.233221,502,2688,3190,2011
345,4,0,0,1,0.220833,0.0665417,377,2366,2743,2011
346,4,1,1,1,0.238333,0.06345,143,3167,3310,2011
347,4,2,1,1,0.2825,0.14055,155,3368,3523,2011
348,4,3,1,2,0.3175,0.0609583,178,3562,3740,2011
349,4,4,1,2,0.4225,0.268042,181,3528,3709,2011
350,4,5,1,2,0.375,0.260575,178,3399,3577,2011
351,4,6,0,2,0.258333,0.243167,275,2464,2739,2011
352,4,0,0,1,0.238333,0.169779,220,2211,2431,2011
353,4,1,1,1,0.276667,0.172896,260,3143,3403,2011
354,4,2,1,2,0.385833,0.0615708,216,3534,3750,2011
355,1,3,1,2,0.428333,0.2214,107,2553,2660,2011
356,1,4,1,2,0.423333,0.047275,227,2841,3068,2011
357,1,5,1,1,0.373333,0.274246,163,2046,2209,2011
358,1,6,0,1,0.3025,0.190304,155,856,1011,2011
359,1,0,0,1,0.274783,0.155091,303,451,754,2011
360,1,1,0,1,0.321739,0.239465,430,887,1317,2011
361,1,2,1,2,0.325,0.18845,103,1059,1162,2011
362,1,3,1,1,0.29913,0.293961,255,2047,2302,2011
363,1,4,1,1,0.248333,0.119412,254,2169,2423,2011
364,1,5,1,1,0.311667,0.134337,491,2508,2999,2011
365,1,6,0,1,0.41,0.220154,665,1820,2485,2011
